wdid,name,wdLabel,gender,dob,dobPrecision,source,pid,position,psid
Q16082744,Aleksandar Antić,Aleksandar Antić,male,1969-05-07T00:00:00Z,11,,Q2198845,Minister of Energy and Mining,Q16082744-32f1ada6-43d3-dc49-99a5-e8f61a2d864f
Q11074974,Aleksandar Vulin,Aleksandar Vulin,male,1972-10-02T00:00:00Z,11,,Q2199011,Minister of Internal Affairs,Q11074974-6089aa5f-4bc5-23e5-ad9a-b16b4fe3a7a9
Q26258815,Ana Brnabić,Ana Brnabić,female,1975-09-28T00:00:00Z,11,,Q835586,Prime Minister of Serbia,Q26258815-05cda942-4f1a-6dc7-7c34-3b6cdd11b2cd
Q16916400,Bratislav Gašić,Bratislav Gašić,male,1967-06-30T00:00:00Z,11,,Q2198783,Minister of Defense,Q16916400-3f782555-45f2-3bd5-805d-6f29890abd29
Q58278,Ivan Mrkić,Ivan Mrkić,male,1953-05-30T00:00:00Z,11,,Q2198943,Minister of Foreign Affairs,q58278-1eb179a3-4311-1b03-35b6-2b8b626e16fe
Q57843,Ivica Dačić,Ivica Dačić,male,1966-01-01T00:00:00Z,11,,Q2198943,Minister of Foreign Affairs,Q57843-FA5B696F-97E2-4AF5-944B-5A037AEBACD0
Q27480291,Mladen Šarčević,Mladen Šarčević,male,1957-01-22T00:00:00Z,11,,Q2198808,Minister of Education,Q27480291-2cf8118d-41e6-4217-1d05-cb8a249c75eb
Q55127874,Mothanna Gharaibeh,Mothanna Gharaibeh,male,1980-01-01T00:00:00Z,9,,Q17098318,Minister of Information,Q55127874-89f49550-4965-cc01-c49f-3f8881307f81
Q1265331,Rasim Ljajić,Rasim Ljajić,male,1964-01-28T00:00:00Z,11,,Q16799332,Deputy Prime Minister of Serbia,Q1265331-d86de2ba-4b7b-7e15-70af-c836b776b270
Q1265331,Rasim Ljajić,Rasim Ljajić,male,1964-01-28T00:00:00Z,11,,Q2198867,"Minister of Trade, Tourism and Telecommunications",Q1265331-ee271c61-42e0-a10d-358f-a4f3c8205fcf
Q27814282,Vladan Vukosavljević,Vladan Vukosavljević,male,1962-01-01T00:00:00Z,9,,Q2198731,Minister of Culture,Q27814282-f9e99f0d-45fa-c59c-a925-0f104a8036ba
Q10843366,Zorana Mihajlović,Zorana Mihajlović,female,1970-05-05T00:00:00Z,11,,Q2199745,"Minister of Transportation, Construction and Infrastructure",Q10843366-8F5FF8AE-2348-4DF2-A085-03FD69208821
